20180704234753: STARTING DL Thread
20180704235102: Adding Event: From:AC2CZ to PFS3-11 Ctrl: 3 Type: UI PID: bd FLG: 10 FILE: 0 BLK_SIZE: f4 First HOLE: Wed Dec 31 19:00:00 EST 1969 - Mon Jan 18 22:14:07 EST 2038
20180704235356: Window Closed
20180704235447: Making new database: C:\Users\chris\Desktop\workspace\Falcon\FalconSat-3
20180704235447: STARTING DL Thread
20180704235453: START Frame Decoder Thread
20180704235453: START TNC Decoder Thread
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: PB: AC2CZ.
20180704235453: Adding Event: PB: Empty..
20180704235453: Adding Event: OK K4KDR.
20180704235453: Adding Event: PB: K4KDR.
20180704235454: Saved directory to disk
20180704235455: Adding Event: PB: K4KDR.
20180704235455: Adding Event: OK KB2M.
20180704235455: Adding Event: PB: K4KDR.
20180704235455: Adding Event: OK KB2M.
20180704235455: Adding Event: PB: Empty..
20180704235455: Adding Event: PB: Empty..
20180704235455: Adding Event: PB: Empty..
20180704235456: Adding Event: Open ABCD: 
20180704235456: Adding Event: PB: Empty..
20180704235456: Adding Event: OK K4KDR.
20180704235456: Adding Event: PB: K4KDR\D.
20180704235456: Saved directory to disk
20180704235456: Saved directory to disk
20180704235456: Adding Event: OK KB2M.
20180704235456: Adding Event: PB: Empty..
20180704235456: Adding Event: OK AC2CZ.
20180704235456: Adding Event: OK K4KDR.
20180704235456: Adding Event: OK KB2M.
20180704235456: Adding Event: PB: AC2CZ.
20180704235457: Adding Event: PB: AC2CZ.
20180704235501: Adding Event: Open ABCD: 
20180704235501: Adding Event: PB: AC2CZ.
20180704235504: Adding Event: OK KB2M.
20180704235505: Adding Event: PB: KB2M AC2CZ.
20180704235505: Saved directory to disk
20180704235505: Adding Event: PB: AC2CZ.
20180704235511: Adding Event: PB: AC2CZ.
20180704235516: Adding Event: PB: AC2CZ.
20180704235519: Adding Event: PB: Empty..
20180704235519: Adding Event: OK AC2CZ.
20180704235519: Adding Event: PB: AC2CZ.
20180704235520: Adding Event: Open ABCD: 
20180704235520: Adding Event: PB: AC2CZ.
20180704235521: Adding Event: PB: AC2CZ.
20180704235521: Adding Event: PB: Empty..
20180704235521: Adding Event: OK AC2CZ.
20180704235522: Adding Event: PB: Empty..
20180704235522: Adding Event: OK AC2CZ.
20180704235522: Adding Event: PB: AC2CZ.
20180704235523: Adding Event: PB: KB2M AC2CZ.
20180704235523: Adding Event: PB: AC2CZ.
20180704235526: Adding Event: PB: AC2CZ.
20180704235526: Adding Event: PB: Empty..
20180704235526: Adding Event: Open ABCD: 
20180704235526: Adding Event: OK KB2M.
20180704235526: Adding Event: PB: KB2M.
20180704235526: Adding Event: PB: Empty..
20180704235526: Adding Event: PB: Empty..
20180704235526: Adding Event: OK AC2CZ.
20180704235529: Adding Event: PB: AC2CZ.
20180704235530: Adding Event: PB: Empty..
20180704235531: Adding Event: OK AC2CZ.
20180704235531: Adding Event: PB: AC2CZ.
20180704235532: Adding Event: PB: Empty..
20180704235532: Adding Event: PB: Empty..
20180704235533: Adding Event: PB: Empty..
20180704235533: Adding Event: OK AC2CZ.
20180704235533: Adding Event: PB: AC2CZ.
20180704235536: Adding Event: PB: Empty..
20180704235536: Adding Event: OK AC2CZ.
20180704235536: Adding Event: PB: AC2CZ.
20180704235540: Adding Event: PB: Empty..
20180704235540: Adding Event: OK KB2M.
20180704235540: Adding Event: PB: KB2M.
20180704235540: Adding Event: Open AB D: K4KDR  
20180704235541: Adding Event: PB: Empty..
20180704235541: Adding Event: OK AC2CZ.
20180704235541: Adding Event: PB: AC2CZ.
20180704235541: Adding Event: OK KB2M.
20180704235542: Adding Event: PB: KB2M.
20180704235542: Adding Event: PB: Empty..
20180704235543: Adding Event: OK AC2CZ.
20180704235543: Adding Event: PB: AC2CZ.
