159,Type,Field,Bits,Units,Conversion,Module,ModuleNumber,ModuleLine,ModuleType,ShortName,Description
116,Uint16,ADCS_CSS_raw_1,16,-,97,ADCS3,14,2,0,ADCS_CSS_raw_1,ADCS_CSS_raw_1
117,Uint16,ADCS_CSS_raw_2,16,-,98,ADCS3,14,3,0,ADCS_CSS_raw_2,ADCS_CSS_raw_2
118,Uint16,ADCS_CSS_raw_3,16,-,99,ADCS3,14,4,0,ADCS_CSS_raw_3,ADCS_CSS_raw_3
119,Uint16,ADCS_CSS_raw_4,16,-,100,ADCS3,14,5,0,ADCS_CSS_raw_4,ADCS_CSS_raw_4
120,Uint16,ADCS_CSS_raw_5,16,-,101,ADCS3,14,6,0,ADCS_CSS_raw_5,ADCS_CSS_raw_5
121,Bit2,FSS_active_0,2,-,102,FSS & CSS,13,1,0,FSS active 0,FSS_active_0
122,Bit2,FSS_active_1,2,-,103,FSS & CSS,13,2,0,FSS active 1,FSS_active_1
123,Bit2,FSS_active_2,2,-,104,FSS & CSS,13,3,0,FSS active 2,FSS_active_2
124,Bit2,FSS_active_3,2,-,105,FSS & CSS,13,4,0,FSS active 3,FSS_active_3
125,Bit2,FSS_active_4,2,-,106,FSS & CSS,13,5,0,FSS active 4,FSS_active_4
126,Bit2,FSS_active_5,2,-,107,FSS & CSS,13,6,0,FSS active 5,FSS_active_5
127,Bit2,CSS_Active_selected_0,2,-,108,FSS & CSS,13,7,0,CSS Active selected 0,CSS_Active_selected_0
128,Bit2,CSS_Active_selected_1,2,-,109,FSS & CSS,13,8,0,CSS Active selected 1,CSS_Active_selected_1
129,Bit2,CSS_Active_selected_2,2,-,110,FSS & CSS,13,9,0,CSS Active selected 2,CSS_Active_selected_2
130,Bit2,CSS_Active_selected_3,2,-,111,FSS & CSS,13,10,0,CSS Active selected 3,CSS_Active_selected_3
131,Bit2,CSS_Active_selected_4,2,-,112,FSS & CSS,13,11,0,CSS Active selected 4,CSS_Active_selected_4
132,Bit2,CSS_Active_selected_5,2,-,113,FSS & CSS,13,12,0,CSS Active selected 5,CSS_Active_selected_5
133,Uint16,ADCS_sun_processed_0,16,-,114,ADCS3,14,7,0,ADCS_sun_processed_0,ADCS_sun_processed_0
134,Uint16,ADCS_sun_processed_1,16,-,115,ADCS3,14,8,0,ADCS_sun_processed_1,ADCS_sun_processed_1
135,Uint16,ADCS_sun_processed_2,16,-,116,ADCS3,14,9,0,ADCS_sun_processed_2,ADCS_sun_processed_2
136,Uint16,Reserved_0,16,-,0,None,0,0,0,Reserved_0,Reserved_0
137,Uint16,Reserved_1,16,-,0,None,0,0,0,Reserved_1,Reserved_1
138,Uint16,Reserved_2,16,-,0,None,0,0,0,Reserved_2,Reserved_2
139,Uint16,Reserved_3,16,-,0,None,0,0,0,Reserved_3,Reserved_3
140,Uint16,ADCS_detumble_counter,16,-,0,ADCS2,8,10,0,ADCS detumble counter,ADCS_detumble_counter
141,Uint16,ADCS_mode,16,-,122,ADCS2,8,11,0,Mode,ACSD Mode 0=Standby 1=Detumble 2=Coarse-point 3=Fine-Point
142,Uint16,ADCS_state,16,-,123,ADCS2,8,12,0,ADCS state,ACDS State 0=Nadir 1=Sun 2=Velocity 3=LLA 4=Moon
143,Bit10,ACDS_sensorBit,10,-,0,None,0,0,0,Reserved_4,Reserved_4
144,Bit4,ACDS_targetBit,4,-,0,None,0,0,0,Reserved_5,Reserved_5
145,Bit16,ACDS_actuatorBit,16,-,0,None,0,0,0,Reserved_6,Reserved_6
146,Bit3,ACDS_propagatorBit,3,-,0,None,0,0,0,Reserved_7,Reserved_7
147,Bit4,ACDS_attitudeBit,4,-,0,None,0,0,0,Reserved_8,Reserved_8
148,Bit1,CMC_rx_lock,1,-,129,CMC Radio,9,1,0,RX Lock,CMC_rx_lock
149,Uint16,CMC_rx_frame_count,16,-,130,CMC Radio,9,2,0,RX Frame Count,CMC_rx_frame_count
150,Uint16,CMC_rx_packet_count,16,-,131,CMC Radio,9,3,0,RX Packet Count,CMC_rx_packet_count
151,Uint16,CMC_rx_dropped_error_count,16,-,132,CMC Radio,9,4,0,RX Dropped Error Count,CMC_rx_dropped_error_count
152,Uint16,CMC_rx_CRC_error_count,16,-,133,CMC Radio,9,5,0,RX CRC Error Count,CMC_rx_CRC_error_count
153,Unit8,CMC_rx_overrun_error_count,8,-,134,CMC Radio,9,6,0,RX Overrun Error Count,CMC_rx_overrun_error_count
154,Uint16,CMC_rx_protocol_error_count,16,-,135,CMC Radio,9,7,0,RX Protocol Error Count,CMC_rx_protocol_error_count
155,Sint8,CMC_SMPS_temperature,8,C,136,CMC Radio,9,8,0,SMPS Temperature,CMC_SMPS_temperature
156,Sint8,CMC_PA_temperature,8,C,137,CMC Radio,9,9,0,PA Temperature,CMC_PA_temperature
157,Bit1,Padding_x5,23,-,0,None,0,0,0,Padding_x5,Padding_x5
158,Bit1,CheckSumBytes_x2,2,-,0,None,0,0,0,CheckSumBytes_x2,CheckSumBytes_x2
